127.0.0.1, 2017-02-04 20:27:07, GET, /, HTTP/1.1, 303, 0.001268
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.514476
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000616
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000371
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000296
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000256
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000270
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000338
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000303
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000703
127.0.0.1, 2017-02-04 20:27:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000293
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000251
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000412
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000235
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000209
127.0.0.1, 2017-02-04 20:27:08, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000580
127.0.0.1, 2017-02-04 20:27:16, GET, /admin/default/site, HTTP/1.1, 303, 0.102626
127.0.0.1, 2017-02-04 20:27:16, GET, /admin/default/index, HTTP/1.1, 200, 0.024362
